	11601MD	11601MDx6631	13150	13150x6631	13150xJCC	14229-5	6067	6461	6461x13150exp137	6461x13150	6461x14229-5	6461x6067	6631	GCA_004945185	GCA_004947465	GCA_004947585	GCA_005266575	JCC	SampleA	SampleB	SampleC	SampleE	SampleF	SampleG	SampleH	SampleI	SampleJ
GCA_004945185	0.8788101448146994	0.8787576503670386	0.9712834795604578	0.9711530292222657	0.9712977110415761	0.8772741738494376	0.9705690942090528	0.9859849234478167	0.9712435355118126	0.9721882521224193	0.985972399103306	0.9857736992110931	0.8766174357390347	1.0	0.9895917242054634	0.8762578591956253	0.8786448875795212	0.8775781769793746	0.9859642545923092	0.9860131607958587	0.9860814709504323	0.9860274457559695	0.986031232489343	0.9856583454486989	0.9860286879264138	0.985980615279013	0.9859841159106538
GCA_004947465	0.8799990114425524	0.8800352931871955	0.9713627688695752	0.9712735803923469	0.9714230934613015	0.8779340776497764	0.9714687149101987	0.9855809388051117	0.9713721116566466	0.9724341805740429	0.9856262615730697	0.9853810779400922	0.8759958324005028	0.9895917242054634	1.0	0.8808054283273725	0.8826989848408456	0.8788402587631509	0.9856270806400366	0.9856047335386797	0.9855998041843115	0.9856247104902719	0.985682811120642	0.9852123535250747	0.9856203405321111	0.9856542123773555	0.9856145960195284
GCA_004947585	0.9853559212847217	0.9853339223784522	0.8858398089188124	0.886031013669388	0.885805547307934	0.9852397530514404	0.8858285386813671	0.8722113520261356	0.8859389007070886	0.8855163627005522	0.8722771970645351	0.872156787058711	0.9798262552627651	0.8762578591956253	0.8808054283273725	1.0	0.99234569695874	0.9891167681122796	0.8720809073034529	0.8720083145285586	0.8719136199365896	0.8720431669717034	0.8719763049724462	0.872546146825295	0.8720286759166387	0.8719982074488295	0.8720614311931154
GCA_005266575	0.9854927560578516	0.985452626583069	0.8897734835227132	0.8899531853562941	0.8897006794111386	0.9849942974862703	0.8855082180335596	0.8742225401438615	0.88962640300537	0.889122594427026	0.8742186546447037	0.8742118485328974	0.979991966389109	0.8786448875795212	0.8826989848408456	0.99234569695874	1.0	0.9888883634607963	0.8739983243674574	0.8740634759065761	0.8739686794068747	0.8740746133352747	0.8739158052180002	0.8745170400401961	0.8740851146333188	0.8739253277593393	0.8739731985433954
JCC	0.9848585179871716	0.9848453661297792	0.8883481885083266	0.8888763527760268	0.8884698059999624	0.9856678886970459	0.8847503199610697	0.8729783037475345	0.8882130354158858	0.8873174481168332	0.8733024103851939	0.8731606842630435	0.9795428580718948	0.8775781769793746	0.8788402587631509	0.9891167681122796	0.9888883634607963	1.0	0.8731043678608349	0.8730779047721485	0.8729260899697742	0.8730256238503187	0.8730322582848575	0.8735801385472266	0.8730983923246799	0.8730907305828869	0.8730855876043477
SampleA	0.8712500816302757	0.8712655565958731	0.9684773697089877	0.9684158088472877	0.9684885848181841	0.8728161684787357	0.9674137475577334	0.9998604275770834	0.9690928848123107	0.9704619233776388	0.9999834936194586	0.9996570591606135	0.8675756778674492	0.9859642545923092	0.9856270806400366	0.8720809073034529	0.8739983243674574	0.8731043678608349	1.0	0.9998855557615797	0.9998228079221367	0.999838787683379	0.9998890359778649	0.9991346723385924	0.9998695995937229	0.9995866374358972	0.9999581838359618
SampleB	0.8711477128520471	0.8711631917020899	0.968461085094003	0.968400751129172	0.9684722953161417	0.8727375348172379	0.9674110571496671	0.9999122845247284	0.9690778533872377	0.9704469116497263	0.9998690493089875	0.9997090535778389	0.8675702168829975	0.9860131607958587	0.9856047335386797	0.8720083145285586	0.8740634759065761	0.8730779047721485	0.9998855557615797	1.0	0.9999229601781161	0.9999521316281189	0.9998324446984282	0.9992294458310111	0.9999818430213653	0.999618692539084	0.9999251712395659
SampleC	0.8710081729408434	0.8710236926666566	0.9684677571961537	0.9684074090347039	0.9684789741783316	0.8726056858071809	0.9674261368080807	0.9999177902459506	0.9690111518761123	0.970454416037315	0.9998393164123978	0.9996879928703052	0.8674989095366146	0.9860814709504323	0.9855998041843115	0.8719136199365896	0.8739686794068747	0.8729260899697742	0.9998228079221367	0.9999229601781161	1.0	0.9998948956137353	0.9998633907850976	0.9991614885758877	0.9999114041073276	0.9995463973823165	0.9998492218969426
SampleE	0.8711702386966182	0.8711857282010387	0.96848551201648	0.9684252199211101	0.9684967295692053	0.8727829675994366	0.967426821009568	0.9998830460329711	0.9691022794529814	0.970471305707584	0.9998222812050545	0.9996808439437511	0.867604803117858	0.9860274457559695	0.9856247104902719	0.8720431669717034	0.8740746133352747	0.8730256238503187	0.999838787683379	0.9999521316281189	0.9998948956137353	1.0	0.9998052586813849	0.9992299847181583	0.9999691881744214	0.9996400287976962	0.9998773029088565
SampleF	0.8711536659825597	0.8711691686294959	0.968469508065123	0.9684091097558217	0.9684807354390508	0.8726934135553213	0.9674172220549271	0.9998214270813341	0.9690133798450293	0.9704579089868859	0.9999056805811851	0.9995894689870594	0.8675244068015775	0.986031232489343	0.985682811120642	0.8719763049724462	0.8739158052180002	0.8730322582848575	0.9998890359778649	0.9998324446984282	0.9998633907850976	0.9998052586813849	1.0	0.9990895780300032	0.9998207926071124	0.9995593073021226	0.9998779392370426
